"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","32122","datepicker","chromium","Tue Apr 22 23:30:12 UTC 2025","broken","Tue Apr 22 23:30:44 UTC 2025","","uiComponents.spec.ts","",""
"","2272","datepicker","firefox","Tue Apr 22 23:30:06 UTC 2025","passed","Tue Apr 22 23:30:08 UTC 2025","","uiComponents.spec.ts","",""
"","1691","first test using page object","chromium","Tue Apr 22 23:29:13 UTC 2025","passed","Tue Apr 22 23:29:15 UTC 2025","","usePageObjects.spec.ts","",""
"","2566","first test using page object","firefox","Tue Apr 22 23:30:20 UTC 2025","passed","Tue Apr 22 23:30:22 UTC 2025","","usePageObjects.spec.ts","",""
"","32123","dialogs","chromium","Tue Apr 22 23:30:11 UTC 2025","broken","Tue Apr 22 23:30:43 UTC 2025","","uiComponents.spec.ts","",""
"","7605","drag and drop","firefox","Tue Apr 22 23:30:12 UTC 2025","passed","Tue Apr 22 23:30:19 UTC 2025","","uiComponents.spec.ts","",""
"","4236","tooltips","firefox","Tue Apr 22 23:29:34 UTC 2025","passed","Tue Apr 22 23:29:38 UTC 2025","","uiComponents.spec.ts","",""
"","5271","drag and drop","chromium","Tue Apr 22 23:29:07 UTC 2025","passed","Tue Apr 22 23:29:13 UTC 2025","","uiComponents.spec.ts","",""
"","1474","test parameterized","firefox","Tue Apr 22 23:30:22 UTC 2025","passed","Tue Apr 22 23:30:24 UTC 2025","","usePageObjects.spec.ts","",""
"","4327","lists and dropdowns","chromium","Tue Apr 22 23:27:21 UTC 2025","passed","Tue Apr 22 23:27:26 UTC 2025","","uiComponents.spec.ts","",""
"","1","Locators syntax rules","firefox","Tue Apr 22 23:30:19 UTC 2025","skipped","Tue Apr 22 23:30:19 UTC 2025","","uiComponents.spec.ts","",""
"","32150","tooltips","chromium","Tue Apr 22 23:28:33 UTC 2025","broken","Tue Apr 22 23:29:05 UTC 2025","","uiComponents.spec.ts","",""
"","2212","Radio buttons","firefox","Tue Apr 22 23:29:26 UTC 2025","passed","Tue Apr 22 23:29:29 UTC 2025","Form layouts page","uiComponents.spec.ts","",""
"","32113","tables","chromium","Tue Apr 22 23:30:13 UTC 2025","broken","Tue Apr 22 23:30:45 UTC 2025","","uiComponents.spec.ts","",""
"","9574","Input field","firefox","Tue Apr 22 23:29:16 UTC 2025","passed","Tue Apr 22 23:29:26 UTC 2025","Form layouts page","uiComponents.spec.ts","",""
"","32202","Radio buttons","chromium","Tue Apr 22 23:28:29 UTC 2025","broken","Tue Apr 22 23:29:01 UTC 2025","Form layouts page","uiComponents.spec.ts","",""
"","1074","test parameterized","chromium","Tue Apr 22 23:29:15 UTC 2025","passed","Tue Apr 22 23:29:16 UTC 2025","","usePageObjects.spec.ts","",""
"","1303","slider","chromium","Tue Apr 22 23:29:06 UTC 2025","passed","Tue Apr 22 23:29:07 UTC 2025","","uiComponents.spec.ts","",""
"","3299","lists and dropdowns","firefox","Tue Apr 22 23:29:31 UTC 2025","passed","Tue Apr 22 23:29:34 UTC 2025","","uiComponents.spec.ts","",""
"","2162","checkboxes","firefox","Tue Apr 22 23:29:29 UTC 2025","passed","Tue Apr 22 23:29:31 UTC 2025","","uiComponents.spec.ts","",""
"","0","Locators syntax rules","chromium","Tue Apr 22 23:29:13 UTC 2025","skipped","Tue Apr 22 23:29:13 UTC 2025","","uiComponents.spec.ts","",""
"","5053","dialogs","firefox","Tue Apr 22 23:29:38 UTC 2025","passed","Tue Apr 22 23:29:43 UTC 2025","","uiComponents.spec.ts","",""
"","32204","checkboxes","chromium","Tue Apr 22 23:28:29 UTC 2025","broken","Tue Apr 22 23:29:01 UTC 2025","","uiComponents.spec.ts","",""
"","32128","Input field","chromium","Tue Apr 22 23:28:29 UTC 2025","broken","Tue Apr 22 23:29:01 UTC 2025","Form layouts page","uiComponents.spec.ts","",""
"","3389","slider","firefox","Tue Apr 22 23:30:08 UTC 2025","passed","Tue Apr 22 23:30:12 UTC 2025","","uiComponents.spec.ts","",""
"","22675","tables","firefox","Tue Apr 22 23:29:43 UTC 2025","passed","Tue Apr 22 23:30:06 UTC 2025","","uiComponents.spec.ts","",""
